sector,cagr_percent,forecast_year,source_name,source_url,confidence,notes
Agricultural Robotics,39.4,2032,SkyQuestT,https://www.skyquestt.com/report/agricultural-robots-market,high,
Agricultural Robotics,39.4,2032,SkyQuestT,https://www.skyquestt.com/report/agricultural-robots-market,high,
Agricultural Robotics,26.0,2030,Markets and Markets,https://www.marketsandmarkets.com/Market-Reports/agricultural-robot-market-173601759.html,high,
Agricultural Robotics,24.78,2035,Roots Analysis,https://www.rootsanalysis.com/agriculture-robots-market,high,
Agricultural Robotics,24.78,2035,Roots Analysis,https://www.rootsanalysis.com/agriculture-robots-market,high,
Agricultural Robotics,24.6,2030,Mordor Intelligence,https://www.mordorintelligence.com/industry-reports/agricultural-robots-market,high,
Agricultural Robotics,24.6,2030,Mordor Intelligence,https://www.mordorintelligence.com/industry-reports/agricultural-robots-market,high,
Agricultural Robotics,23.0,2030,Grand View Research,https://www.grandviewresearch.com/industry-analysis/agricultural-robots-market,high,
Agricultural Robotics,18.4,2032,SNS Insider,https://www.snsinsider.com/reports/agriculture-robots-market-2548,high,
Agricultural Robotics,18.3,2032,Fortune Business Insights,https://www.fortunebusinessinsights.com/agricultural-robots-market-109044,high,
Agricultural Robotics,15.81,2032,Market Research Future,https://www.marketresearchfuture.com/reports/agriculture-robots-market-10147,high,
Agricultural Robotics,15.4,2033,IMARC Group,https://www.imarcgroup.com/agricultural-robots-market,high,
Construction Robotics,18.0,2030,Grand View Research,https://www.grandviewresearch.com/industry-analysis/construction-robots-market-report,high,CAGR from 2025 to 2030
Construction Robotics,17.5,2030,Grand View Research,https://www.grandviewresearch.com/horizon/outlook/construction-robots-market-size/global,high,CAGR from 2024 to 2030
Construction Robotics,15.5,2030,Mordor Intelligence,https://www.mordorintelligence.com/industry-reports/construction-robots-market,high,CAGR from 2025 to 2030
Construction Robotics,15.3,2035,ResearchNester,https://www.researchnester.com/reports/construction-robots-market/5225,high,CAGR from 2025 to 2035
Construction Robotics,14.6,2030,IndustryARC,https://www.industryarc.com/Research/Construction-Robot-Market-Research-505446,high,CAGR from 2024 to 2030
Construction Robotics,14.4,2032,Research and Markets,https://www.researchandmarkets.com/report/construction-robotics,high,CAGR from 2023 to 2032
