sector,dimension,count,min_value,max_value,avg_value,year_range,source_count,high_confidence,medium_confidence,low_confidence
Agricultural Robotics,market_growth_rate,12,15.4,39.4,24.54,2030-2035,9,12,0,0
Agricultural Robotics,market_size,18,2.4,22.6,15.6,2026-2029,18,1,2,0
Construction Robotics,market_growth_rate,8,10.5,18.0,15.0,2030-2035,7,8,0,0
Construction Robotics,market_size,27,10.5,23.3,15.54,2026-2035,24,4,9,0
Industrial Robotics,market_growth_rate,11,9.9,14.2,12.39,2029-2035,11,11,0,0
Industrial Robotics,market_size,39,70.0,70.0,70.0,2024-2030,32,0,2,18
Logistics Robotics,market_growth_rate,11,12.3,25.56,17.68,2029-2035,11,11,0,0
Logistics Robotics,market_size,31,,,,2026-2030,30,0,0,12
Mobile Robotics,market_growth_rate,11,10.4,29.2,19.26,2030-2035,11,11,0,0
Mobile Robotics,market_size,52,,,,2023-2026,45,0,0,18
Service Robotics,market_growth_rate,10,11.01,21.21,16.22,2029-2034,10,10,0,0
Service Robotics,market_size,41,,,,2026-2026,32,0,0,2
